name,pokedex_number,type1,type2,generation,weight_kg,height_m,fname,color,habitat,evolution_stage,fully_evolved
bulbasaur,1,grass,poison,1,6.9,0.7,Bulbasaur,green,grassland,1,False
ivysaur,2,grass,poison,1,13.0,1.0,Ivysaur,green,grassland,2,False
venusaur,3,grass,poison,1,100.0,2.0,Venusaur,green,grassland,3,True
charmander,4,fire,none,1,8.5,0.6,Charmander,red,mountain,1,False
charmeleon,5,fire,none,1,19.0,1.1,Charmeleon,red,mountain,2,False
charizard,6,fire,flying,1,90.5,1.7,Charizard,red,mountain,3,True
squirtle,7,water,none,1,9.0,0.5,Squirtle,blue,waters-edge,1,False
wartortle,8,water,none,1,22.5,1.0,Wartortle,blue,waters-edge,2,False
blastoise,9,water,none,1,85.5,1.6,Blastoise,blue,waters-edge,3,True
caterpie,10,bug,none,1,2.9,0.3,Caterpie,green,forest,1,False
metapod,11,bug,none,1,9.9,0.7,Metapod,green,forest,2,False
butterfree,12,bug,flying,1,32.0,1.1,Butterfree,white,forest,3,True
weedle,13,bug,poison,1,3.2,0.3,Weedle,brown,forest,1,False
kakuna,14,bug,poison,1,10.0,0.6,Kakuna,yellow,forest,2,False
beedrill,15,bug,poison,1,29.5,1.0,Beedrill,yellow,forest,3,True
pidgey,16,normal,flying,1,1.8,0.3,Pidgey,brown,forest,1,False
pidgeotto,17,normal,flying,1,30.0,1.1,Pidgeotto,brown,forest,2,False
pidgeot,18,normal,flying,1,39.5,1.5,Pidgeot,brown,forest,3,True
rattata,19,normal,none,1,,,Rattata,purple,grassland,1,False
raticate,20,normal,none,1,,,Raticate,brown,grassland,2,True
spearow,21,normal,flying,1,2.0,0.3,Spearow,brown,rough-terrain,1,False
fearow,22,normal,flying,1,38.0,1.2,Fearow,brown,rough-terrain,2,True
ekans,23,poison,none,1,6.9,2.0,Ekans,purple,grassland,1,False
arbok,24,poison,none,1,65.0,3.5,Arbok,purple,grassland,2,True
pikachu,25,electric,none,1,6.0,0.4,Pikachu,yellow,forest,1,False
raichu,26,electric,none,1,,,Raichu,yellow,forest,2,True
sandshrew,27,ground,none,1,,,Sandshrew,yellow,rough-terrain,1,False
sandslash,28,ground,none,1,,,Sandslash,yellow,rough-terrain,2,True
nidoran-f,29,poison,none,1,7.0,0.4,Nidoran♀,blue,grassland,1,False
nidorina,30,poison,none,1,20.0,0.8,Nidorina,blue,grassland,2,False
nidoqueen,31,poison,ground,1,60.0,1.3,Nidoqueen,blue,grassland,3,True
nidoran-m,32,poison,none,1,9.0,0.5,Nidoran♂,purple,grassland,1,False
nidorino,33,poison,none,1,19.5,0.9,Nidorino,purple,grassland,2,False
nidoking,34,poison,ground,1,62.0,1.4,Nidoking,purple,grassland,3,True
clefairy,35,normal,none,1,7.5,0.6,Clefairy,pink,mountain,1,False
clefable,36,normal,none,1,40.0,1.3,Clefable,pink,mountain,2,True
vulpix,37,fire,none,1,,,Vulpix,brown,grassland,1,False
ninetales,38,fire,none,1,,,Ninetales,yellow,grassland,2,True
jigglypuff,39,normal,none,1,5.5,0.5,Jigglypuff,pink,grassland,1,False
wigglytuff,40,normal,none,1,12.0,1.0,Wigglytuff,pink,grassland,2,True
zubat,41,poison,flying,1,7.5,0.8,Zubat,purple,cave,1,False
golbat,42,poison,flying,1,55.0,1.6,Golbat,purple,cave,2,True
oddish,43,grass,poison,1,5.4,0.5,Oddish,blue,grassland,1,False
gloom,44,grass,poison,1,8.6,0.8,Gloom,blue,grassland,2,False
vileplume,45,grass,poison,1,18.6,1.2,Vileplume,red,grassland,3,True
paras,46,bug,grass,1,5.4,0.3,Paras,red,forest,1,False
parasect,47,bug,grass,1,29.5,1.0,Parasect,red,forest,2,True
venonat,48,bug,poison,1,30.0,1.0,Venonat,purple,forest,1,False
venomoth,49,bug,poison,1,12.5,1.5,Venomoth,purple,forest,2,True
