name,fname,pokedex_number,type1,type2,habitat,color,evolution_stage,weight_kg,height_m,generation
bulbasaur,Bulbasaur,1,grass,poison,grassland,green,1,6.9,0.7,1
ivysaur,Ivysaur,2,grass,poison,grassland,green,2,13.0,1.0,1
venusaur,Venusaur,3,grass,poison,grassland,green,3,100.0,2.0,1
charmander,Charmander,4,fire,none,mountain,red,1,8.5,0.6,1
charmeleon,Charmeleon,5,fire,none,mountain,red,2,19.0,1.1,1
charizard,Charizard,6,fire,flying,mountain,red,3,90.5,1.7,1
squirtle,Squirtle,7,water,none,waters-edge,blue,1,9.0,0.5,1
wartortle,Wartortle,8,water,none,waters-edge,blue,2,22.5,1.0,1
blastoise,Blastoise,9,water,none,waters-edge,blue,3,85.5,1.6,1
caterpie,Caterpie,10,bug,none,forest,green,1,2.9,0.3,1
metapod,Metapod,11,bug,none,forest,green,2,9.9,0.7,1
butterfree,Butterfree,12,bug,flying,forest,white,3,32.0,1.1,1
weedle,Weedle,13,bug,poison,forest,brown,1,3.2,0.3,1
kakuna,Kakuna,14,bug,poison,forest,yellow,2,10.0,0.6,1
beedrill,Beedrill,15,bug,poison,forest,yellow,3,29.5,1.0,1
pidgey,Pidgey,16,normal,flying,forest,brown,1,1.8,0.3,1
pidgeotto,Pidgeotto,17,normal,flying,forest,brown,2,30.0,1.1,1
pidgeot,Pidgeot,18,normal,flying,forest,brown,3,39.5,1.5,1
rattata,Rattata,19,normal,none,grassland,purple,1,,,1
raticate,Raticate,20,normal,none,grassland,brown,2,,,1
spearow,Spearow,21,normal,flying,rough-terrain,brown,1,2.0,0.3,1
fearow,Fearow,22,normal,flying,rough-terrain,brown,2,38.0,1.2,1
ekans,Ekans,23,poison,none,grassland,purple,1,6.9,2.0,1
arbok,Arbok,24,poison,none,grassland,purple,2,65.0,3.5,1
pikachu,Pikachu,25,electric,none,forest,yellow,2,6.0,0.4,1
raichu,Raichu,26,electric,none,forest,yellow,3,,,1
sandshrew,Sandshrew,27,ground,none,rough-terrain,yellow,1,,,1
sandslash,Sandslash,28,ground,none,rough-terrain,yellow,2,,,1
nidoran-f,Nidoran♀,29,poison,none,grassland,blue,1,7.0,0.4,1
nidorina,Nidorina,30,poison,none,grassland,blue,2,20.0,0.8,1
nidoqueen,Nidoqueen,31,poison,ground,grassland,blue,3,60.0,1.3,1
nidoran-m,Nidoran♂,32,poison,none,grassland,purple,1,9.0,0.5,1
nidorino,Nidorino,33,poison,none,grassland,purple,2,19.5,0.9,1
nidoking,Nidoking,34,poison,ground,grassland,purple,3,62.0,1.4,1
clefairy,Clefairy,35,normal,none,mountain,pink,2,7.5,0.6,1
clefable,Clefable,36,normal,none,mountain,pink,3,40.0,1.3,1
vulpix,Vulpix,37,fire,none,grassland,brown,1,,,1
ninetales,Ninetales,38,fire,none,grassland,yellow,2,,,1
jigglypuff,Jigglypuff,39,normal,none,grassland,pink,2,5.5,0.5,1
wigglytuff,Wigglytuff,40,normal,none,grassland,pink,3,12.0,1.0,1
zubat,Zubat,41,poison,flying,cave,purple,1,7.5,0.8,1
golbat,Golbat,42,poison,flying,cave,purple,2,55.0,1.6,1
oddish,Oddish,43,grass,poison,grassland,blue,1,5.4,0.5,1
gloom,Gloom,44,grass,poison,grassland,blue,2,8.6,0.8,1
vileplume,Vileplume,45,grass,poison,grassland,red,3,18.6,1.2,1
paras,Paras,46,bug,grass,forest,red,1,5.4,0.3,1
parasect,Parasect,47,bug,grass,forest,red,2,29.5,1.0,1
venonat,Venonat,48,bug,poison,forest,purple,1,30.0,1.0,1
venomoth,Venomoth,49,bug,poison,forest,purple,2,12.5,1.5,1
diglett,Diglett,50,ground,none,cave,brown,1,,,1
dugtrio,Dugtrio,51,ground,none,cave,brown,2,,,1
meowth,Meowth,52,normal,none,urban,yellow,1,,,1
persian,Persian,53,normal,none,urban,yellow,2,,,1
psyduck,Psyduck,54,water,none,waters-edge,yellow,1,19.6,0.8,1
golduck,Golduck,55,water,none,waters-edge,blue,2,76.6,1.7,1
mankey,Mankey,56,fighting,none,mountain,brown,1,28.0,0.5,1
primeape,Primeape,57,fighting,none,mountain,brown,2,32.0,1.0,1
growlithe,Growlithe,58,fire,none,grassland,brown,1,19.0,0.7,1
arcanine,Arcanine,59,fire,none,grassland,brown,2,155.0,1.9,1
poliwag,Poliwag,60,water,none,waters-edge,blue,1,12.4,0.6,1
poliwhirl,Poliwhirl,61,water,none,waters-edge,blue,2,20.0,1.0,1
poliwrath,Poliwrath,62,water,fighting,waters-edge,blue,3,54.0,1.3,1
abra,Abra,63,psychic,none,urban,brown,1,19.5,0.9,1
kadabra,Kadabra,64,psychic,none,urban,brown,2,56.5,1.3,1
alakazam,Alakazam,65,psychic,none,urban,brown,3,48.0,1.5,1
machop,Machop,66,fighting,none,mountain,gray,1,19.5,0.8,1
machoke,Machoke,67,fighting,none,mountain,gray,2,70.5,1.5,1
machamp,Machamp,68,fighting,none,mountain,gray,3,130.0,1.6,1
bellsprout,Bellsprout,69,grass,poison,forest,green,1,4.0,0.7,1
weepinbell,Weepinbell,70,grass,poison,forest,green,2,6.4,1.0,1
victreebel,Victreebel,71,grass,poison,forest,green,3,15.5,1.7,1
